-17,-15	-15,3
-10,-1	-4,18
-7,18	-18,17
-10,7	20,5
12,3	14,8
12,-3	-18,-19
3,9	0,4
7,13	-10,15
-9,-5	-6,-19
-9,0	-9,-12
12,12	3,12
15,-9	8,6
13,3	17,2
3,8	-10,5
9,13	-5,11
-3,11	12,12
2,9	9,2
16,15	9,11
-6,0	-10,19
-3,10	-1,-1
12,15	13,12
19,17	6,-1
-7,11	12,3
19,-16	1,-20
-8,-14	-17,16
-17,-3	17,-6
-14,13	-12,-3
-5,-7	-17,7
-18,-17	3,3
-9,-5	-19,-15
-13,-16	-19,-18
-19,3	-4,-12
-10,-9	13,-20
4,17	-18,-5
-11,-18	-20,2
19,20	-13,-2
1,11	-19,-1
8,15	18,-18
-4,5	19,-11
10,-6	-15,0
-14,-19	8,-12
13,17	5,11
12,0	-11,1
-4,-4	18,6
-19,15	-12,-17
-4,-18	-12,-10
-10,-14	9,20
-6,12	-18,-5
-6,8	-16,-4
-15,17	-6,19
19,3	-4,7
-3,13	-20,-11
-18,4	6,-10
-13,12	-15,-5
-14,-14	-19,-9
-6,-14	-7,-19
13,9	9,-1
14,4	-7,-7
7,7	12,-19
17,17	-17,6
13,17	-9,-14
10,3	-19,13
-13,19	3,-2
3,-1	-19,6
-14,-14	-1,-8
-19,8	-17,6
20,11	9,-7
17,19	-16,-20
-2,-19	3,-1
-16,-6	11,-8
-13,16	3,5
9,-12	2,5
-13,-4	-13,-13
-15,19	1,5
-7,-14	-19,19
10,-18	11,-2
2,9	-11,3
-3,10	13,10
6,11	-2,5
-6,-10	11,18
-4,15	7,-15
17,16	-14,-16
2,-9	14,-11
6,-16	-15,-18
-12,-2	4,-6
1,8	-9,13
-2,-13	-11,14
7,-14	1,13
-5,12	-4,-10
-10,9	-5,5
2,16	-11,9
8,-19	18,4
-9,5	12,-17
10,-3	5,-4
6,10	3,15
1,-15	-6,14
19,-8	5,4
20,-20	0,9
13,9	-9,-14
-19,5	-7,16
18,4	-7,-14
4,15	-8,-3
17,17	-8,11
19,-12	-20,19
7,10	-4,12
16,-9	9,-7
-16,2	-20,11
14,-16	17,11
1,9	-3,12
9,-19	-15,19
2,-9	5,-4
20,-12	-17,-10
11,4	9,-2
-11,-20	-2,15
9,-20	3,-18
14,4	16,8
-7,-1	11,-12
10,14	-1,-16
-4,0	-1,1
-1,5	13,-15
12,20	-7,5
18,13	-11,12
20,-15	-1,-18
-6,9	15,-6
13,-3	-17,-13
-13,4	3,-7
0,2	-16,1
9,3	-10,11
8,-2	9,-12
8,20	-7,-3
0,-10	-14,-5
10,-8	3,-9
2,-12	-12,-6
-3,15	20,4
5,1	-3,18
12,17	0,5
20,-2	14,19
20,-16	3,-1
5,10	-9,-4
2,8	10,-15
-9,0	4,-12
-19,-14	2,-10
2,-16	7,-20
14,0	-5,18
4,14	-2,10
20,-11	3,0
-8,11	-14,-11
-7,1	-4,-11
6,3	-4,-15
1,-8	-5,-5
19,-18	1,3
19,-17	-11,-9
-16,7	8,-3
-12,0	13,16
-13,1	19,5
-6,-17	5,10
11,19	0,14
19,18	-15,17
12,14	11,5
9,-10	6,4
13,8	-18,-14
8,17	-12,-13
12,-9	-16,5
-1,9	-20,-4
-14,2	-6,-9
-19,-11	7,-15
1,9	-17,10
-5,-16	10,-12
15,-19	-12,12
14,-17	-17,-8
14,-20	13,1
13,-5	-12,3
11,-20	-12,14
-13,-5	-14,9
-7,-17	19,-7
20,4	1,19
5,13	12,-10
12,-14	-11,20
-7,-9	4,-8
-1,1	7,-11
7,-12	5,0
-1,-14	15,-14
10,-3	-2,13
11,-3	-6,6
-12,15	-14,-19
18,15	-8,-7
-8,5	17,-18
-12,20	-19,-4
10,14	-17,-6
-11,18	0,-18
-8,-14	-12,20
14,-9	-15,9
20,-2	-7,-10
0,-3	13,16
-16,6	6,-18
9,-1	-13,20
-3,-19	-7,6
1,-4	14,5
17,13	-8,7
-12,-10	8,9
2,4	10,19
-4,19	-8,17
10,8	-8,10
16,1	-1,-16
-10,3	18,20
10,-6	19,16
-12,-1	-7,14
-1,-14	-20,-19
-8,0	-17,0
14,-4	1,8
-16,6	10,-19
-2,17	16,-12
-7,-11	-10,18
4,-16	20,17
8,-3	-15,11
10,-5	-11,16
-1,-6	-8,19
1,17	19,5
13,6	-5,-7
15,-17	-4,-5
-12,19	5,7
-13,9	5,5
10,4	-2,-7
-5,-6	-17,14
13,-15	18,14
-20,-17	4,7
5,-6	12,-3
-14,3	12,3
13,11	17,-16
9,-6	-3,-19
-19,10	-18,-12
-11,-7	0,-5
14,-17	19,-11
-2,-14	15,14
-15,-12	7,-12
-18,-1	12,-3
10,-17	15,2
1,-14	18,3
-14,18	2,3
20,-3	10,-2
12,18	-11,-19
-18,1	7,20
-20,2	14,-17
-16,14	12,19
7,7	6,-5
-9,-10	19,-18
-19,17	2,-9
-2,-19	-18,-5
16,-6	5,-16
3,-13	18,-16
-5,-6	15,-8
-14,-20	5,-15
12,-3	17,-6
-17,13	13,13
5,7	-12,-11
7,-12	9,3
-17,16	-9,13
8,7	18,8
-10,11	18,-12
2,-11	-19,-4
-9,-11	20,6
16,20	-4,8
10,9	-8,7
7,-3	-6,2
20,-18	5,19
-19,7	-1,-19
15,10	16,-4
-3,-5	9,9
3,13	19,9
-5,15	14,-10
9,-2	3,6
-13,12	-5,4
-13,7	18,9
19,13	9,-15
4,8	19,3
15,2	-10,-11
-6,-9	6,8
11,-9	6,-4
0,16	5,-1
-4,0	-20,5
17,-18	-7,9
-14,-13	-20,3
0,18	0,5
-9,0	-15,13
18,10	5,19
-5,8	-14,18
-19,2	-19,-1
11,-12	-17,-20
1,5	10,19
-20,10	20,16
-7,-6	19,0
-10,1	-1,5
16,18	11,9
-3,-15	12,-7
16,3	-5,3
3,-9	-5,14
19,-6	-7,17
9,-5	5,-3
17,-7	12,-10
-20,5	10,3
-9,-8	18,-9
11,19	-20,-12
-7,-7	-20,19
-15,9	20,-8
-9,-3	5,19
-19,-20	3,-13
-1,-18	16,3
10,4	-13,-16
9,-9	-11,9
-16,-3	-11,10
14,-16	13,-2
-2,-19	15,15
-7,-16	6,-12
-9,17	-1,9
-8,-18	1,9
-17,-11	-6,19
2,20	-1,-14
-8,-11	-6,-19
0,-13	-3,-14
3,-16	12,19
-12,2	-12,7
-8,-1	15,-19
-19,1	20,-11
-16,14	-17,-12
11,6	2,10
-2,-1	-16,20
-11,-13	-20,-15
-11,2	-11,-1
16,14	-12,-15
-6,16	-6,1
-15,-9	7,-7
6,-18	1,7
11,15	2,-9
13,-13	-18,-12
4,-11	6,-6
20,-3	19,14
-13,-15	12,16
19,-9	-8,19
-16,14	0,-12
12,-5	-5,9
5,9	-14,0
-6,-17	2,-14
5,-19	16,-13
-4,2	15,-5
1,7	-6,-18
-12,-10	-12,-10
5,-11	-14,-1
7,9	-20,-13
7,-20	-14,-18
-8,7	-20,-8
4,0	-11,-9
-3,-3	-4,16
-6,13	-1,-1
16,6	11,10
4,-2	5,-9
6,-2	16,9
13,7	16,0
14,-16	16,-20
-4,6	17,9
-15,12	14,10
13,20	-3,-10
-7,3	-14,-6
-7,7	-12,12
-8,12	4,-10
-16,-1	9,-11
12,-15	3,-9
-6,15	-18,7
15,-18	5,14
-1,-6	-10,5
-6,-8	16,-6
12,-4	15,-3
18,-4	-10,-19
19,5	12,-17
-17,11	-8,15
0,-2	-18,9
1,-9	8,-17
-7,3	-4,8
-4,12	-4,-17
0,-20	6,-6
-9,4	10,-12
7,-2	-16,-9
-17,6	-16,14
17,-11	-19,-19
3,-7	16,14
10,7	19,17
1,-14	-20,-16
-7,-19	13,13
-19,-11	-19,-2
-4,-13	-19,17
-19,2	-3,-14
4,20	-9,6
-20,-5	-7,-10
19,7	14,-18
16,-3	-14,-5
17,-5	-17,-7
-5,-9	19,-20
-10,-13	17,-8
-5,-2	1,-15
-7,20	-12,16
-5,-14	3,11
-9,-7	-7,4
-2,-20	-15,-6
16,-1	3,-2
14,-1	-18,-1
-15,10	12,-12
18,16	2,-2
19,7	18,7
-14,14	-9,18
-6,19	20,-12
-16,9	-15,18
-11,10	-19,-11
4,-8	10,3
13,-12	7,-8
-14,1	1,-1
7,-12	-5,17
-4,10	0,-20
-18,-20	-13,-7
-2,-17	8,12
-6,-7	-5,-16
-18,-19	-13,4
-13,6	16,17
7,20	12,-19
-19,-9	-13,-8
-6,-15	-3,13
14,-3	-13,-9
18,-1	-8,18
-15,-9	-19,-20
-14,9	9,-19
17,-20	-6,1
-16,-5	-3,-13
-10,-8	-15,7
-3,11	-13,-3
18,19	-11,0
4,-6	17,-6
-8,11	8,-13
11,5	0,-17
9,-18	7,9
-5,15	6,15
-17,13	5,-3
-13,8	-2,-1
6,-5	-10,-5
-13,-19	-3,14
-12,4	7,17
-18,-12	-18,-17
-7,-18	-4,14
-9,-10	11,2
-15,7	15,19
-10,-14	6,-2
-5,-20	20,-7
-3,-17	-6,-7
10,13	11,8
-19,-18	-1,6
13,19	13,-7
7,-14	9,9
13,-10	15,-9
-1,19	-11,14
-13,13	-9,-19
1,-17	19,18
-3,20	5,0
18,18	16,20
-12,-16	16,-5
-11,17	1,0
-17,-7	18,-17
-8,3	-17,-20
11,5	18,-11
-17,18	6,-16
0,-10	13,13
-5,-14	-4,-4
1,11	-3,9
-7,1	15,-20
19,-20	18,17
-14,6	7,6
19,9	16,-3
6,-20	-4,-19
-19,-10	18,2
-7,-7	-15,15
2,-2	1,-17
-13,1	-1,-9
-11,-4	-4,11
12,15	14,-4
-2,16	0,13
17,15	9,7
4,-15	5,-15
13,-11	-14,0
5,10	17,-15
6,5	8,19
-3,10	-19,15
11,14	3,20
6,-8	18,-15
-20,-9	-4,-19
-2,-18	7,-1
5,-5	7,12
-3,18	4,5
-3,-20	-4,-9
-2,-20	-8,-19
-8,-9	0,-3
16,-8	1,4
17,-12	-19,-17
-14,-5	6,-13
4,-1	-12,-3
-8,5	-18,6
6,1	-16,-7
8,-11	14,20
9,5	10,-3
19,-6	7,9
-5,20	11,20
-3,-7	10,4
-19,-4	13,-4
-1,0	-7,16
20,6	-17,-15
-14,-9	-10,1
-2,14	-6,-8
20,-16	-14,12
-4,13	8,1
12,-11	-8,-6
-13,-1	13,11
10,9	20,12
1,-2	-11,9
8,-19	7,13
5,-9	-6,18
0,13	6,-2
8,-12	-3,3
6,-18	-10,3
13,16	-7,17
17,7	1,14
-7,-3	-12,-1
17,18	-5,20
16,-16	-20,14
11,-20	14,-8
-20,-16	15,1
-10,5	-9,18
17,-1	6,0
-11,17	20,-20
13,17	9,-19
4,-10	-9,-5
-13,9	-7,1
-6,-15	-1,-17
-14,-3	7,-14
-14,-8	4,-8
6,16	-5,10
20,-7	-16,-12
15,-15	3,-8
-7,2	10,2
-3,-9	8,20
12,-3	14,17
-15,-19	13,14
-11,1	15,-5
-5,-6	-5,6
7,-2	-12,-1
-20,7	12,20
9,-12	-1,1
13,17	-14,-11
13,5	18,3
-18,6	11,4
-15,-15	11,9
10,-18	-9,-5
2,5	0,19
0,18	-4,17
15,9	17,6
6,-12	13,19
-11,-8	-7,20
-7,-14	-18,-17
6,-16	5,14
9,-9	0,4
-12,-20	-19,5
6,18	-11,-9
15,-1	-11,-14
-13,-9	-7,-7
-8,-13	1,-18
-5,1	-18,12
14,-11	1,-18
13,-2	-5,-12
15,-5	-5,8
-17,14	12,5
-1,11	13,-18
-9,16	-5,-15
2,-19	10,18
-19,7	-13,-6
4,1	19,10
-14,-5	9,-16
18,12	14,-6
-11,-19	10,8
0,19	8,10
8,-1	-12,19
19,-2	17,11
-1,-16	-14,-19
7,-13	0,-17
-1,-19	-7,16
-11,2	20,2
